city,country,year,jams_delay,mins_delay,city_gdp_capita,unemployment_pct,jams_delay_norm,gdp_capita_norm
belo-horizonte,BRA,2024,263.04787931788366,0.4872275360037778,11124.0,9.5,0.07648499452733223,0.3701828528390309
bogota,COL,2024,1141.5523642732041,1.6996284237494024,11442.0,10.0,0.3921693965686654,0.383488848905812
brasilia,BRA,2024,101.57632617273147,0.1934421559877342,16251.0,7.8,0.018461328656229486,0.5847106573496799
buenos-aires,ARG,2024,571.0895933537382,0.41656646170772604,18117.0,7.2,0.18717761586795267,0.6627892380434328
curitiba,BRA,2024,183.46927447552432,0.13996459672844222,12381.0,8.2,0.04788898310660351,0.4227791957822503
fortaleza,BRA,2024,82.81318101933213,0.0816177475203336,8512.0,11.8,0.011718924536953019,0.2608895769697477
lima,PER,2024,1052.2927888792358,1.506304510304872,13472.0,6.5,0.36009459653376147,0.46842964140759025
mexico-city,MEX,2024,2833.0578924355077,1.8555424236133564,21111.0,3.2,0.9999999999999999,0.788066446294824
montevideo,URY,2024,50.2010921799912,0.3934420136382757,26176.0,8.4,0.0,1.0
porto-alegre,BRA,2024,139.3828296101621,0.19419456468503604,11801.0,8.7,0.03204682951058869,0.39851039792459936
recife,BRA,2024,112.75555069930087,0.07253879036529949,9189.0,11.2,0.022478504288674157,0.28921712205531613
rio-de-janeiro,BRA,2024,466.06470588235203,0.3613022575932048,13349.0,9.2,0.14943766192503222,0.4632829825515712
salvador,BRA,2024,86.40000000000002,0.11581062763269719,8899.0,12.4,0.013007822686630914,0.2770827231264906
santiago,CHL,2024,629.8653176675361,0.6274451728168534,2277.0,7.8,0.20829825862197482,0.0
sao-paulo,BRA,2024,1729.189270199824,1.129025667445178,14703.0,8.5,0.6033325817791527,0.5199380727227081
